region,round,team1,seed1,score1,team2,seed2,score2,winner,year
Midwest,First Round,Nebraska,3,84,Xavier,14,89,Xavier,1991
Midwest,First Round,Iowa,7,76,ETSU,10,73,Iowa,1991
Midwest,First Round,Duke,2,102,Louisiana-Monroe,15,73,Duke,1991
Midwest,Second Round,Ohio State,1,65,Georgia Tech,8,61,Ohio State,1991
Midwest,Second Round,Texas,5,76,St. John's (NY),4,84,St. John's (NY),1991
Midwest,Second Round,UConn,11,66,Xavier,14,50,UConn,1991
Midwest,Second Round,Iowa,7,70,Duke,2,85,Duke,1991
Midwest,Sweet Sixteen,Ohio State,1,74,St. John's (NY),4,91,St. John's (NY),1991
Midwest,Sweet Sixteen,UConn,11,67,Duke,2,81,Duke,1991
Midwest,Elite Eight,St. John's (NY),4,61,Duke,2,78,Duke,1991
West,First Round,UNLV,1,99,Montana,16,65,UNLV,1991
West,First Round,Georgetown,8,70,Vanderbilt,9,60,Georgetown,1991
West,First Round,Michigan State,5,60,Green Bay,12,58,Michigan State,1991
West,First Round,Utah,4,82,South Alabama,13,72,Utah,1991
West,First Round,New Mexico State,6,56,Creighton,11,64,Creighton,1991
West,First Round,Seton Hall,3,71,Pepperdine,14,51,Seton Hall,1991
West,First Round,Virginia,7,48,BYU,10,61,BYU,1991
West,First Round,Arizona,2,93,Saint Francis (PA),15,80,Arizona,1991
West,Second Round,UNLV,1,62,Georgetown,8,54,UNLV,1991
West,Second Round,Michigan State,5,84,Utah,4,85,Utah,1991
West,Second Round,Creighton,11,69,Seton Hall,3,81,Seton Hall,1991
West,Second Round,BYU,10,61,Arizona,2,76,Arizona,1991
West,Sweet Sixteen,UNLV,1,83,Utah,4,66,UNLV,1991
West,Sweet Sixteen,Seton Hall,3,81,Arizona,2,77,Seton Hall,1991
West,Elite Eight,UNLV,1,77,Seton Hall,3,65,UNLV,1991
National,Final Four,Duke,2,79,UNLV,1,77,Duke,1991
National,Final Four,UNC,1,73,Kansas,3,79,Kansas,1991
National,Championship,Duke,2,72,Kansas,3,65,Duke,1991
East,First Round,UConn,1,76,Boston University,16,52,UConn,1990
East,First Round,Indiana,8,63,California,9,65,California,1990
East,First Round,Clemson,5,49,BYU,12,47,Clemson,1990
East,First Round,La Salle,4,79,Southern Miss,13,63,La Salle,1990
East,First Round,St. John's (NY),6,81,Temple,11,65,St. John's (NY),1990
East,First Round,Duke,3,81,Richmond,14,46,Duke,1990
East,First Round,UCLA,7,68,UAB,10,56,UCLA,1990
East,First Round,Kansas,2,79,Robert Morris,15,71,Kansas,1990
East,Second Round,UConn,1,74,California,9,54,UConn,1990
East,Second Round,Clemson,5,79,La Salle,4,75,Clemson,1990
East,Second Round,St. John's (NY),6,72,Duke,3,76,Duke,1990
East,Second Round,UCLA,7,71,Kansas,2,70,UCLA,1990
East,Sweet Sixteen,UConn,1,71,Clemson,5,70,UConn,1990
East,Sweet Sixteen,Duke,3,90,UCLA,7,81,Duke,1990
East,Elite Eight,UConn,1,78,Duke,3,79,Duke,1990
Midwest,First Round,Oklahoma,1,77,Towson,16,68,Oklahoma,1990
Midwest,First Round,UNC,8,83,Missouri State,9,70,UNC,1990
Midwest,First Round,Illinois,5,86,Dayton,12,88,Dayton,1990
Midwest,First Round,Arkansas,4,68,Princeton,13,64,Arkansas,1990
Midwest,First Round,Xavier,6,87,Kansas State,11,79,Xavier,1990
Midwest,First Round,Georgetown,3,70,Texas Southern,14,52,Georgetown,1990
Midwest,First Round,Georgia,7,88,Texas,10,100,Texas,1990
Midwest,First Round,Purdue,2,75,Louisiana-Monroe,15,63,Purdue,1990
Midwest,Second Round,Oklahoma,1,77,UNC,8,79,UNC,1990
Midwest,Second Round,Dayton,12,84,Arkansas,4,86,Arkansas,1990
Midwest,Second Round,Xavier,6,74,Georgetown,3,71,Xavier,1990
Midwest,Second Round,Texas,10,73,Purdue,2,72,Texas,1990
Midwest,Sweet Sixteen,UNC,8,73,Arkansas,4,96,Arkansas,1990
Midwest,Sweet Sixteen,Xavier,6,89,Texas,10,102,Texas,1990
Midwest,Elite Eight,Arkansas,4,88,Texas,10,85,Arkansas,1990
West,First Round,UNLV,1,102,Little Rock,16,72,UNLV,1990
West,First Round,Ohio State,8,84,Providence,9,83,Ohio State,1990
West,First Round,Oregon State,5,53,Ball State,12,54,Ball State,1990
West,First Round,Louisville,4,78,Idaho,13,59,Louisville,1990
West,First Round,New Mexico State,6,92,Loyola Marymount,11,111,Loyola Marymount,1990
West,First Round,Michigan,3,76,Illinois State,14,70,Michigan,1990
West,First Round,Alabama,7,71,Colorado State,10,54,Alabama,1990
West,First Round,Arizona,2,79,South Florida,15,67,Arizona,1990
West,Second Round,UNLV,1,76,Ohio State,8,65,UNLV,1990
West,Second Round,Ball State,12,62,Louisville,4,60,Ball State,1990
West,Second Round,Loyola Marymount,11,149,Michigan,3,115,Loyola Marymount,1990
West,Second Round,Alabama,7,77,Arizona,2,55,Alabama,1990
West,Sweet Sixteen,UNLV,1,69,Ball State,12,67,UNLV,1990
