Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
180,Nicholls State,29,14,15,0.483,-7.9,-6.1,12.0,6.0,5,5,9,8,67.5,67.7,,24.6,57.9,0.424,4.28,14.7,0.292,14.1,22.7,0.623,14.0,38.2,14.6,9.34,2.55,17.2,18.8
181,Norfolk State,27,15,12,0.556,-10.6,-12.08,11.0,7.0,9,4,5,8,86.3,84.7,,32.4,67.3,0.481,5.22,14.6,0.357,16.3,24.2,0.675,14.8,35.6,13.8,9.37,3.3,14.9,22.3
182,North Carolina NCAA,34,24,10,0.706,16.77,10.24,10.0,6.0,12,2,7,5,71.4,64.9,40.3,25.5,54.1,0.471,5.15,13.5,0.38,15.2,21.2,0.718,12.8,39.9,15.9,5.65,3.94,15.6,14.9
183,North Carolina A&T,28,13,15,0.464,-13.53,-9.72,9.0,9.0,9,3,2,11,67.9,70.4,,24.1,56.1,0.429,5.21,14.9,0.35,14.6,24.1,0.604,14.6,34.3,10.5,7.07,2.71,16.6,19.8
184,North Texas,26,4,22,0.154,-13.58,1.31,4.0,12.0,3,7,1,14,71.5,86.4,,26.4,68.1,0.388,6.73,23.7,0.284,12.0,18.2,0.658,15.2,36.8,11.7,8.35,2.5,16.5,18.3
185,Northeastern,28,10,18,0.357,-13.36,-6.86,6.0,12.0,4,7,4,10,68.8,75.3,40.5,25.1,56.7,0.442,5.21,14.8,0.354,13.5,19.0,0.707,10.5,31.8,10.5,8.14,3.79,15.5,19.7
186,Northern Arizona,29,21,8,0.724,5.19,-3.01,12.0,4.0,12,1,6,7,77.2,66.7,,27.0,51.6,0.523,8.38,18.8,0.445,14.8,19.7,0.751,8.59,32.6,16.4,5.97,2.52,16.2,16.3
187,Northern Illinois,26,6,20,0.231,-6.91,-0.79,2.0,16.0,5,8,0,12,60.0,66.1,40.6,21.5,53.7,0.401,4.88,15.2,0.322,12.0,17.3,0.69,11.6,35.2,10.6,6.15,2.15,16.4,18.5
188,Northern Iowa,27,9,18,0.333,3.68,5.83,6.0,12.0,6,6,3,11,70.5,72.6,,23.9,52.2,0.457,6.19,15.9,0.388,16.5,22.4,0.736,8.81,31.1,11.9,7.78,1.59,15.6,17.7
189,Northwestern,29,15,14,0.517,10.81,9.09,6.0,10.0,12,7,3,7,60.0,57.1,40.3,20.1,46.7,0.431,6.93,18.5,0.375,12.8,18.5,0.693,8.55,33.5,15.3,4.52,3.69,15.0,18.1
